BodyType,Fuel,Keepership,ONS Sort,ONS Code,ONS Geography,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1,2009 Q4
Buses and coaches,Diesel,Company,3,E92000001,England,90.974,91.971,91.77,91.886,92.41,91.76,89.275,90.701,92.413,81.925,83.468,102.102,102.4,103.029,103.04,103.983,105.195,105.87,105.971,106.487,107.795,108.444,108.369,108.628,109.279,109.33,108.924,109.05,109.703,109.775,109.191,108.992,109.991,109.807,109.379,109.333,110.348,110.652,110.16,110.041,111.091,111.234,110.038,109.682,110.833,111.141,110.935,111.137,112.244,111.814,111.897,112.022
Buses and coaches,Diesel,Company,392,W92000004,Wales,6.381,6.463,6.388,6.377,6.32,6.273,5.957,5.971,6.123,4.466,4.815,6.838,6.838,6.877,6.912,6.893,6.93,6.928,6.902,6.934,6.992,6.935,6.896,6.87,6.872,7.065,7.116,7.205,7.219,7.279,7.27,7.211,7.357,7.142,7.27,7.316,7.399,7.362,7.344,7.344,7.735,7.57,7.653,7.675,7.756,7.6,7.723,7.735,7.794,7.628,7.762,7.771
Buses and coaches,Diesel,Company,416,S92000003,Scotland,10.48,10.653,10.779,10.734,10.851,10.46,10.249,10.411,10.662,9.23,8.732,11.921,12.051,12.246,12.189,12.198,12.282,12.305,12.287,12.297,12.453,12.471,12.488,12.503,12.687,12.785,12.78,12.751,12.801,12.813,12.779,12.843,13.081,13.013,12.857,12.802,13.063,13.052,13.05,13.035,13.084,13.181,13.137,13.225,13.398,13.487,13.458,13.424,13.638,13.676,13.692,13.67
Buses and coaches,Diesel,Company,450,N92000002,Northern Ireland,4.184,4.037,4.305,4.207,4.13,3.834,3.954,4.041,4.06,3.454,3.802,4.58,4.655,4.466,4.629,4.626,4.662,4.536,4.682,4.711,4.771,4.454,4.747,4.669,4.695,4.328,4.684,4.664,4.695,4.4,4.748,4.673,4.732,,,,,,,,,,,,,,,,,,,
Buses and coaches,Diesel,Private,3,E92000001,England,20.841,21.073,20.64,20.741,21.177,20.781,19.579,19.605,20.035,18.828,19.6,20.822,21.547,21.587,21.249,21.473,22.175,22.293,22.006,22.182,22.92,22.947,22.667,22.812,23.376,23.242,22.691,22.774,23.293,23.134,22.576,22.862,23.73,23.494,22.823,23.05,23.789,23.689,23.295,23.447,24.066,24.069,23.861,24.119,24.795,24.932,24.554,24.83,25.605,25.511,25.082,25.379
Buses and coaches,Diesel,Private,386,W92000004,Wales,2.122,2.118,2.086,2.111,2.172,2.083,1.949,1.941,1.968,1.751,1.836,2.066,2.117,2.097,2.045,2.078,2.148,2.105,2.101,2.12,2.183,2.212,2.159,2.174,2.22,2.229,2.175,2.198,2.258,2.277,2.204,2.199,2.324,2.285,2.259,2.273,2.344,2.331,2.296,2.31,2.372,2.326,2.296,2.315,2.388,2.384,2.345,2.398,2.425,2.387,2.338,2.414
Buses and coaches,Diesel,Private,410,S92000003,Scotland,2.078,2.064,2.033,2.062,2.119,2.051,1.88,1.895,1.913,1.71,1.804,2.035,2.115,2.098,2.106,2.097,2.169,2.191,2.138,2.169,2.223,2.22,2.166,2.2,2.261,2.266,2.211,2.192,2.275,2.244,2.196,2.203,2.312,2.262,2.183,2.2,2.302,2.285,2.254,2.246,2.359,2.369,2.337,2.352,2.468,2.501,2.47,2.497,2.626,2.645,2.593,2.647
Buses and coaches,Diesel,Private,444,N92000002,Northern Ireland,0.811,0.807,0.777,0.772,0.787,0.753,0.662,0.705,0.697,0.596,0.726,0.848,0.869,0.868,0.846,0.847,0.879,0.874,0.832,0.832,0.862,0.86,0.828,0.832,0.843,0.831,0.812,0.806,0.812,0.795,0.807,0.812,0.835,,,,,,,,,,,,,,,,,,,
Buses and coaches,Diesel,Total,3,E92000001,England,113.087,114.172,113.548,114.026,115.023,113.945,110.164,111.653,113.942,102.038,104.082,124.375,125.542,126.152,125.812,127.057,128.962,129.661,129.453,130.221,132.214,132.934,132.533,132.949,134.267,133.975,132.801,133.262,134.411,134.232,133.021,133.368,135.822,135.317,134.218,134.455,136.167,136.363,135.608,135.633,137.349,137.424,136.125,136.193,137.894,138.223,137.69,138.164,139.983,139.354,138.9,139.334
Buses and coaches,Diesel,Total,393,W92000004,Wales,8.503,8.581,8.474,8.488,8.492,8.356,7.906,7.912,8.091,6.217,6.651,8.904,8.955,8.974,8.957,8.971,9.078,9.033,9.003,9.054,9.175,9.147,9.055,9.044,9.092,9.294,9.291,9.403,9.477,9.556,9.474,9.41,9.681,9.427,9.529,9.589,9.743,9.693,9.64,9.654,10.107,9.896,9.949,9.99,10.144,9.984,10.068,10.133,10.219,10.015,10.1,10.185
