BodyType,Make,GenModel,Model,Fuel,EngineSizeSimple,EngineSizeDesc,Number
Cars,ABARTH,ABARTH 500,500 C,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595,Petrol,1400,1301cc to 1400cc,342
Cars,ABARTH,ABARTH 595,595 COMPETIZIONE,Petrol,1400,1301cc to 1400cc,508
Cars,ABARTH,ABARTH 595,595 COMPETIZIONE S-A,Petrol,1400,1301cc to 1400cc,51
Cars,ABARTH,ABARTH 595,595 ESSEESSE,Petrol,1400,1301cc to 1400cc,123
Cars,ABARTH,ABARTH 595,595 ESSEESSE S-A,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595 MONSTER YAMAHA,Petrol,1400,1301cc to 1400cc,61
Cars,ABARTH,ABARTH 595,595 PISTA,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595 PISTA 70TH ANNIVERSARY,Petrol,1400,1301cc to 1400cc,23
Cars,ABARTH,ABARTH 595,595 PISTA S-A,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595 SCORPIONEORO,Petrol,1400,1301cc to 1400cc,118
Cars,ABARTH,ABARTH 595,595 TURISMO,Petrol,1400,1301cc to 1400cc,524
Cars,ABARTH,ABARTH 595,595 TURISMO S-A,Petrol,1400,1301cc to 1400cc,59
Cars,ABARTH,ABARTH 595,595C,Petrol,1400,1301cc to 1400cc,45
Cars,ABARTH,ABARTH 595,595C COMPETIZIONE,Petrol,1400,1301cc to 1400cc,70
Cars,ABARTH,ABARTH 595,595C COMPETIZIONE S-A,Petrol,1400,1301cc to 1400cc,18
Cars,ABARTH,ABARTH 595,595C ESSEESSE,Petrol,1400,1301cc to 1400cc,14
Cars,ABARTH,ABARTH 595,595C ESSEESSE S-A,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595C PISTA,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595C PISTA 70TH ANNIVERSARY,Petrol,1400,1301cc to 1400cc,7
Cars,ABARTH,ABARTH 595,595C PISTA S-A,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595C TROFEO,Petrol,1400,1301cc to 1400cc,1
Cars,ABARTH,ABARTH 595,595C TURISMO,Petrol,1400,1301cc to 1400cc,120
Cars,ABARTH,ABARTH 595,595C TURISMO S-A,Petrol,1400,1301cc to 1400cc,25
Cars,ABARTH,ABARTH 695,695 70TH ANNIVERSARY,Petrol,1400,1301cc to 1400cc,12
